repo,source,description,category,language,stars,forks,descripcion_es,open_issues,license,topics,created_at,updated_at,pushed_at,discovered_at,source_url,github_url,score
dalle-mini/dalle-mini,Hugging Face Spaces,DALL·E mini,Other,static,5687,0,Repositorio para revisar: dall·e mini.,0,,static; region:us,2022-04-07T00:55:48.000Z,2025-08-15T17:58:41.000Z,2025-08-15T17:58:41.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/dalle-mini/dalle-mini,5687
psviderski/uncloud,MAGI//ARCHIVE,A lightweight tool for deploying and managing containerised applications across a network of Docker hosts. Bridging the gap between Docker and Kubernetes ✨,Other,Go,5192,157,Repositorio para revisar: a lightweight tool for deploying and managing containerised applications across a network of docker hosts. bridging the gap between docker and kubernetes ✨.,88,Apache-2.0,containers; deployment; devops; docker; docker-compose; golang; kubernetes; orchestration; self-hosted,2024-07-20T11:13:36Z,2026-06-01T17:12:37Z,2026-05-29T08:25:40Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/psviderski-uncloud.html,https://github.com/psviderski/uncloud,5663
liam-hq/liam,MAGI//ARCHIVE,Automatically generates beautiful and easy-to-read ER diagrams from your database.,Data / ETL,TypeScript,4827,210,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",35,Apache-2.0,data-visualization; database; database-schema; documentation; documentation-tool; entity-relationship-diagram; er-diagram; erd; nodejs; orm; postgresql; prisma; react-flow; reactjs; ruby-on-rails; sql; tbls; typescript; visualization; webassembly,2024-08-07T07:11:45Z,2026-06-01T15:42:12Z,2026-05-28T23:46:16Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/liam-hq-liam.html,https://github.com/liam-hq/liam,5457
AP123/IllusionDiffusion,Hugging Face Spaces,IllusionDiffusion,LLM / GenAI,gradio,5404,0,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",0,,gradio; region:us,2023-09-15T16:46:58.000Z,2026-05-22T14:15:16.000Z,2026-05-22T14:15:16.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/AP123/IllusionDiffusion,5404
productdevbook/port-killer,MAGI//ARCHIVE,"A powerful cross-platform port management tool for developers. Monitor ports, manage Kubernetes port forwards, integrate Cloudflare Tunnels, and kill processes with one click.",Dev tools,Swift,4841,181,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",18,MIT,developer-tools; kubernetes; macos; macos-app; menu-bar; port-killer; process-manager; swift; swiftui; windows,2025-12-16T01:44:50Z,2026-06-01T12:39:22Z,2026-03-09T07:29:56Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/productdevbook-port-killer.html,https://github.com/productdevbook/port-killer,5384
oliverschwendener/ueli,MAGI//ARCHIVE,Cross-Platform Keystroke Launcher,Other,TypeScript,4530,275,Repositorio para revisar: cross-platform keystroke launcher.,74,MIT,electron; fluentui; keystroke; launcher; productivity; react; typescript,2016-10-11T04:59:52Z,2026-06-01T16:57:50Z,2026-05-28T19:41:16Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/oliverschwendener-ueli.html,https://github.com/oliverschwendener/ueli,5355
bjesus/pipet,MAGI//ARCHIVE,"Swiss-army tool for scraping and extracting data from online assets, made for hackers ",Data / ETL,Go,4693,214,Extrae datos de sitios o fuentes públicas mediante recolección automatizada.,0,MIT,css; curl; gjson; json; playwright; scraper; scraping,2024-08-31T18:00:43Z,2026-06-01T17:33:22Z,2024-10-12T07:47:38Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/bjesus-pipet.html,https://github.com/bjesus/pipet,5335
Galaxy-Dawn/claude-scholar,GitHub topic:academic-research + GitHub topic:zotero,"Semi-automated research assistant for academic research and software development. Supports Claude Code, OpenCode, and Codex CLI across ideation, coding, experiments, writing, and publication.",Academic writing,Python,4138,373,"Ayuda a gestionar citas, bibliografía y escritura académica reproducible.",3,MIT,academic-research; ai-agents; claude; claude-code; codex-cli; developer-tools; mcp; openai-codex; opencode; paper-writing; zotero,2026-01-27T10:32:17Z,2026-06-01T18:18:56Z,2026-06-01T08:55:37Z,,https://github.com/topics/academic-research,https://github.com/Galaxy-Dawn/claude-scholar,5257
langroid/langroid,GitHub topic:rag,Harness LLMs with Multi-Agent Programming,AI agents,Python,4028,375,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",67,MIT,agents; ai; chatgpt; function-calling; gpt; gpt-4; gpt4; information-retrieval; language-model; llama; llm; llm-agent; llm-framework; local-llm; multi-agent-systems; openai-api; rag; retrieval-augmented-generation,2023-04-16T20:47:28Z,2026-06-01T18:12:26Z,2026-06-01T18:11:28Z,,https://github.com/topics/rag,https://github.com/langroid/langroid,5153
Wan-AI/Wan2.2-Animate,Hugging Face Spaces,Wan2.2 Animate,Other,gradio,5118,0,Repositorio para revisar: wan2.2 animate.,0,,gradio; region:us,2025-09-18T07:05:32.000Z,2026-01-23T07:17:48.000Z,2026-01-23T07:17:48.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/Wan-AI/Wan2.2-Animate,5118
unum-cloud/USearch,MAGI//ARCHIVE,"Fast Open-Source Search & Clustering engine × for Vectors & Arbitrary Objects × in C++, C, Python, JavaScript, Rust, Java, Objective-C, Swift, C#, GoLang, and Wolfram 🔍",Data / ETL,C++,4135,323,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",94,Apache-2.0,approximate-nearest-neighbor-search; clustering; database; faiss; full-text-search; fuzzy-search; image-search; kann; nearest-neighbor-search; recommender-system; search; search-engine; semantic-search; simd; similarity-search; text-search; vector-search; webassembly,2023-02-22T09:20:20Z,2026-06-01T14:24:26Z,2026-05-28T11:10:40Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/unum-cloud-USearch.html,https://github.com/unum-cloud/USearch,5104
yihui/knitr,X curado:R Markdown,A general-purpose tool for dynamic report generation in R,Academic writing,R,2452,879,Sirve para trabajar con escritura académica.,152,,dynamic-documents; knitr; literate-programming; r; r-package; rmarkdown; sweave,2011-10-17T20:09:04Z,2026-05-22T23:07:58Z,2026-05-22T23:11:30Z,,https://github.com/yihui/knitr,https://github.com/yihui/knitr,5089
facebook/MusicGen,Hugging Face Spaces,MusicGen,LLM / GenAI,gradio,5070,0,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",0,,gradio; music generation; language models; LLMs; region:us,2023-06-08T18:00:26.000Z,2026-05-27T11:46:50.000Z,2026-05-27T11:46:50.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/facebook/MusicGen,5070
black-forest-labs/FLUX.1-schnell,Hugging Face Spaces,FLUX.1 [Schnell],Other,gradio,5067,0,Repositorio para revisar: flux.1 [schnell].,0,,gradio; region:us,2024-08-01T09:32:41.000Z,2025-08-25T15:19:21.000Z,2025-08-25T15:19:21.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/black-forest-labs/FLUX.1-schnell,5067
psviderski/unregistry,MAGI//ARCHIVE,Push docker images directly to remote servers without an external registry,Geospatial,Go,4762,87,"Permite visualizar, gestionar o analizar datos geoespaciales.",20,Apache-2.0,containerd; docker; golang; kubernetes; oci; registry,2025-06-03T01:48:51Z,2026-06-01T04:49:47Z,2026-04-21T08:02:40Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/psviderski-unregistry.html,https://github.com/psviderski/unregistry,5023
latitude-dev/latitude-llm,MAGI//ARCHIVE,Latitude is the open-source agent engineering platform,AI agents,TypeScript,4041,319,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",22,MIT,agent-monitoring; agent-observability; ai-error-monitor; ai-monitoring; ai-observability; llm-error-tracing; llm-observability; llm-tools,2024-06-28T11:16:02Z,2026-06-01T17:37:25Z,2026-06-01T17:37:40Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/latitude-dev-latitude-llm.html,https://github.com/latitude-dev/latitude-llm,4998
googlemaps/google-maps-services-js,X curado:Google Maps Platform,Node.js client library for Google Maps API Web Services,Geospatial,TypeScript,3051,648,"Facilita integrar mapas, geocodificación, rutas o marcadores con Google Maps.",52,Apache-2.0,client-library; directions; elevation; geocode; google; hacktoberfest; javascript; maps; nodejs; places,2015-10-21T04:48:45Z,2026-05-26T21:19:21Z,2026-05-08T00:50:37Z,,https://github.com/googlemaps/google-maps-services-js,https://github.com/googlemaps/google-maps-services-js,4995
chonkie-inc/chonkie,MAGI//ARCHIVE + GitHub topic:rag,"🦛 CHONK docs with Chonkie ✨ — The lightweight ingestion library for fast, efficient and robust RAG pipelines",LLM / GenAI,Python,4119,276,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",31,MIT,ai; chonkie; chunker; chunking-algorithm; llms; rag; retrieval-systems; semantic-chunker; similarity-search; splitting-algorithms; text-splitter,2025-03-29T05:10:03Z,2026-06-01T18:11:49Z,2026-06-01T18:07:42Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/chonkie-inc-chonkie.html,https://github.com/chonkie-inc/chonkie,4947
apache/hugegraph,MAGI//ARCHIVE,"A graph database that supports more than 100+ billion data, high performance and scalability (Include OLTP Engine & REST-API & Backends)",Data / ETL,Java,3104,611,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",364,Apache-2.0,big-data; database; graph; graph-database; graphdb; gremlin,2018-07-18T03:30:20Z,2026-06-01T02:52:37Z,2026-05-27T10:25:19Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/apache-incubator-hugegraph.html,https://github.com/apache/hugegraph,4937
lmarena-ai/arena-leaderboard,Hugging Face Spaces,Arena Leaderboard,Other,static,4901,0,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",0,,static; leaderboard; region:us,2023-05-20T09:26:19.000Z,2026-02-21T23:20:43.000Z,2026-02-21T23:20:43.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/lmarena-ai/arena-leaderboard,4901
k1LoW/tbls,MAGI//ARCHIVE,"tbls is a CI-Friendly tool to document a database, written in Go.",Academic writing,Go,4236,203,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",57,MIT,bigquery; continuous-integration; database-document; database-schema; documentation-tool; dynamodb; er-diagram; excel; hacktoberfest; mariadb; markdown; mermaid; mysql; plantuml; postgresql; redshift; snowflake; spanner; sqlite; sqlserver,2018-05-17T14:47:27Z,2026-06-01T09:59:15Z,2026-05-31T23:07:44Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/k1LoW-tbls.html,https://github.com/k1LoW/tbls,4845
microsoft/TRELLIS,Hugging Face Spaces,TRELLIS,Other,gradio,4775,0,Repositorio para revisar: trellis.,0,,gradio; region:us,2024-12-02T16:21:14.000Z,2025-06-05T05:04:15.000Z,2025-06-05T05:04:15.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/microsoft/TRELLIS,4775
maplibre/martin,GitHub topic:leaflet,"Blazing fast and lightweight PostGIS, MBtiles and PMtiles tile server, tile generation, and mbtiles tooling.",Geospatial,Rust,3675,365,"Permite visualizar, gestionar o analizar datos geoespaciales.",84,Apache-2.0,hacktoberfest; leaflet; mapbox-gl; mapbox-gl-js; mapbox-vector-tile; maplibre; maplibre-gl-js; maps; mbtiles; pmtiles; postgis; postgresql; rust; vector-tiles; webserver,2017-09-30T10:53:46Z,2026-06-01T15:41:53Z,2026-06-01T00:59:03Z,,https://github.com/topics/leaflet,https://github.com/maplibre/martin,4770
openspeedtest/Speed-Test,MAGI//ARCHIVE,"SpeedTest by OpenSpeedTest™ is a Free and Open-Source HTML5 Network Performance Estimation Tool Written in Vanilla Javascript and only uses built-in Web APIs like XMLHttpRequest (XHR), HTML, CSS, JS, & SVG. No Third-Party frameworks or libraries are Required. Started in 2011 and moved to OpenSpeedTest.com dedicated Project/Domain Name in 2013.",Other,JavaScript,3591,352,Sirve para trabajar con herramienta de código abierto.,52,MIT,css; html5; html5-speedtest; javascript; network-monitoring; network-speed-meter; network-tools; speedtest; svg; xhr2,2021-07-15T02:26:40Z,2026-06-01T13:34:11Z,2026-04-22T11:33:37Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/openspeedtest-Speed-Test.html,https://github.com/openspeedtest/Speed-Test,4647
Maxteabag/sqlit,MAGI//ARCHIVE,"A user friendly TUI for SQL databases. Written in python. Supports SQL server, Mysql, PostreSQL, SQLite, Turso and more.",Data / ETL,Python,4281,120,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",20,MIT,cockroachdb; command-line-tool; duckdb; mariadb; mysql; oracle; postgresql; python; sql; sqlite; ssh; tui; turso,2025-12-13T00:10:36Z,2026-06-01T17:43:50Z,2026-06-01T09:55:16Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/Maxteabag-sqlit.html,https://github.com/Maxteabag/sqlit,4641
Y-Research-SBU/QuantAgent,MAGI//ARCHIVE,Official Repository for QuantAgent,AI agents,HTML,2697,583,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,2,MIT,agentic-ai; large-language-models,2025-07-10T00:26:45Z,2026-05-30T04:08:25Z,2026-05-08T05:31:06Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/Y-Research-SBU-QuantAgent.html,https://github.com/Y-Research-SBU/QuantAgent,4446
allweonedev/presentation-ai,MAGI//ARCHIVE,ALLWEONE® Open source AI presentation generator Gamma Alternative. Create professional slides with customizable themes and AI-generated content in minutes.,Other,TypeScript,2837,496,Sirve para trabajar con herramienta de código abierto.,1,MIT,ai; all-in-one; allweone; gamma; generative-ai; generative-presetation; powerpoint-generation; ppt; ppt-ai; presentation-slides; presentations; slides,2025-03-24T10:25:24Z,2026-06-01T11:47:25Z,2026-04-04T10:21:47Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/allweonedev-presentation-ai.html,https://github.com/allweonedev/presentation-ai,4325
pipeshub-ai/pipeshub-ai,MAGI//ARCHIVE,PipesHub is a fully extensible and explainable workplace AI platform for enterprise search and workflow automation,AI agents,Python,2923,462,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",117,Apache-2.0,agent; agents; ai; drive; glean; gmail; knowledge-graph; langchain; langgraph; llamaparse; notion; ollama; perplexity; python; rag; slack,2025-03-06T18:51:10Z,2026-06-01T14:42:25Z,2026-06-01T17:35:03Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/pipeshub-ai-pipeshub-ai.html,https://github.com/pipeshub-ai/pipeshub-ai,4309
KingNish/OpenGPT-4o,Hugging Face Spaces,OpenGPT 4o,LLM / GenAI,gradio,4307,0,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",0,,gradio; region:us,2024-05-14T04:19:59.000Z,2025-01-29T16:07:55.000Z,2025-01-29T16:07:55.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/KingNish/OpenGPT-4o,4307
scrapinghub/dateparser,MAGI//ARCHIVE,python parser for human readable dates,Other,Python,2810,495,Repositorio para revisar: python parser for human readable dates.,349,BSD-3-Clause,hacktoberfest,2014-11-24T17:30:12Z,2026-06-01T06:19:37Z,2026-06-01T07:58:07Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/scrapinghub-dateparser.html,https://github.com/scrapinghub/dateparser,4295
deta/surf,MAGI//ARCHIVE,"Personal AI Notebooks. Organize files & webpages and generate notes from them. Open source, local & open data, open model choice (incl. local).",LLM / GenAI,TypeScript,3434,252,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",30,Apache-2.0,claude; deepseek; gemma; knowledge-base; knowledge-management; llm; local; local-llm; ollama; openai; productivity; rust; svelte; typescript,2025-10-20T15:09:57Z,2026-06-01T16:36:54Z,2026-05-29T21:52:41Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/deta-surf.html,https://github.com/deta/surf,4190
sakofchit/system.css,MAGI//ARCHIVE,A design system for building retro Apple interfaces,Dashboard / UI,CSS,3779,121,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",10,MIT,classic-macos; css; design-system; hacktoberfest; hacktoberfest2022; macos,2022-08-05T20:11:54Z,2026-05-31T20:22:21Z,2023-11-26T15:31:56Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/sakofchit-system.css.html,https://github.com/sakofchit/system.css,4142
CherryHQ/cherry-studio-app,MAGI//ARCHIVE,🍒 This is the mobile version of Cherry Studio.,AI agents,TypeScript,3384,244,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,140,AGPL-3.0,agent; android; assistant; chat-bot; expo; ios,2025-03-01T16:26:52Z,2026-06-01T18:10:22Z,2026-05-30T11:19:08Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/CherryHQ-cherry-studio-app.html,https://github.com/CherryHQ/cherry-studio-app,4116
ui-layouts/uilayouts,MAGI//ARCHIVE,"UI Layouts isn’t just a library. It’s your complete front-end universe with components, effects, design tools, and ready-to-use blocks, everything you need to build modern interfaces, faster.",Dashboard / UI,TypeScript,3390,197,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",7,MIT,accertinity; accordion-component; animated-tabs; codehike; component-library; components; components-react; drawer; framer-motion; image-mousetrail; modal; mouse-animation; mousetrail; react; react-animation-components; shadcn; shadcnui; sparkles; spotlight; tailwindcss,2024-08-11T09:28:21Z,2026-06-01T08:19:57Z,2026-05-24T21:42:22Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/ui-layouts-uilayouts.html,https://github.com/ui-layouts/uilayouts,3981
yattee/yattee,MAGI//ARCHIVE,"Privacy oriented video player for iOS, tvOS and macOS",Other,Swift,3499,152,"Repositorio para revisar: privacy oriented video player for ios, tvos and macos.",203,AGPL-3.0,invidious; ios; macos; piped; swift; swiftui; tvos; video; youtube,2021-11-09T16:16:27Z,2026-06-01T09:26:49Z,2026-05-10T14:41:24Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/yattee-yattee.html,https://github.com/yattee/yattee,3955
nanotron/ultrascale-playbook,Hugging Face Spaces,The Ultra-Scale Playbook,Other,static,3863,0,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",0,,static; region:us,2024-06-18T17:12:28.000Z,2025-08-21T12:03:51.000Z,2025-08-21T12:03:51.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/nanotron/ultrascale-playbook,3863
libAudioFlux/audioFlux,MAGI//ARCHIVE,"A library for audio and music analysis, feature extraction.",Other,C,3316,145,Extrae datos de sitios o fuentes públicas mediante recolección automatizada.,16,MIT,audio; audio-analysis; audio-features; audio-processing; deep-learning; machine-learning; mfcc; mir; music; music-analysis; music-information-retrieval; pitch; python; signal-processing; spectral-analysis; spectrogram; time-frequency-analysis; wavelet-analysis; wavelet-transform,2023-01-16T09:53:04Z,2026-06-01T09:36:07Z,2026-03-06T04:12:17Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/libAudioFlux-audioFlux.html,https://github.com/libAudioFlux/audioFlux,3751
KlingTeam/LivePortrait,Hugging Face Spaces,Live Portrait,LLM / GenAI,gradio,3746,0,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",0,,gradio; Multimodal; Motion control; Image-to-Video; Video-to-Video; language models; LLMs; region:us,2024-07-05T16:35:24.000Z,2024-08-30T11:20:51.000Z,2024-08-30T11:20:51.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/KlingTeam/LivePortrait,3746
yusing/godoxy,MAGI//ARCHIVE,High-performance reverse proxy and container orchestrator for self-hosters,Other,Go,3249,127,Repositorio para revisar: high-performance reverse proxy and container orchestrator for self-hosters.,11,NOASSERTION,docker; go; golang; homepage; letsencrypt; microservice; reverse-proxy; self-hosted; startpage,2024-02-29T03:52:35Z,2026-06-01T16:58:16Z,2026-05-25T08:03:04Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/yusing-godoxy.html,https://github.com/yusing/godoxy,3630
qgis/QGIS-Documentation,GitHub topic:qgis + X curado:MappingGIS,QGIS Documentation,Geospatial,Python,594,1008,"Permite visualizar, gestionar o analizar datos geoespaciales.",160,,python; qgis; rst; documentation; gis,2013-02-27T21:54:56Z,2026-05-30T10:43:36Z,2026-06-01T11:15:53Z,,https://github.com/topics/qgis,https://github.com/qgis/QGIS-Documentation,3618
InstantX/InstantID,Hugging Face Spaces,InstantID,Other,gradio,3606,0,Repositorio para revisar: instantid.,0,,gradio; region:us,2024-01-19T11:58:11.000Z,2025-08-26T18:13:43.000Z,2025-08-26T18:13:43.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/InstantX/InstantID,3606
wojciech-kulik/FlashSpace,MAGI//ARCHIVE,FlashSpace is a blazingly fast virtual workspace manager for macOS ⚡,Other,Swift,3328,58,Repositorio para revisar: flashspace is a blazingly fast virtual workspace manager for macos ⚡.,3,GPL-3.0,apple; macos; swift; window-manager,2025-01-19T21:25:42Z,2026-06-01T15:08:48Z,2026-05-20T15:14:39Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/wojciech-kulik-FlashSpace.html,https://github.com/wojciech-kulik/FlashSpace,3502
chrisvel/tududi,MAGI//ARCHIVE,"A calm, open system for organizing life and work. Tasks, projects, notes, areas, and smart workflows - self-hosted or hosted.",Other,TypeScript,2906,195,"Repositorio para revisar: a calm, open system for organizing life and work. tasks, projects, notes, areas, and smart workflows - self-hosted or hosted.",18,MIT,expressjs; get-things-done; gtd; gtd-applications; gtd-management; nodejs; project-management; react; reactjs; task-management; todo,2023-11-13T09:23:23Z,2026-06-01T16:29:59Z,2026-05-31T20:40:10Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/chrisvel-tududi.html,https://github.com/chrisvel/tududi,3491
malmeloo/FindMy.py,MAGI//ARCHIVE,🍏 + 🎯 + 🐍 = Query Apple's FindMy Network with Python!,Other,Python,3069,126,Repositorio para revisar: 🍏 + 🎯 + 🐍 = query apple's findmy network with python!.,20,MIT,airtag; apple; bluetooth; find-my; findmy; location-tracker; offline-finding,2023-12-30T21:29:05Z,2026-05-31T11:47:14Z,2026-06-01T00:32:21Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/malmeloo-FindMy.py.html,https://github.com/malmeloo/FindMy.py,3447
maxdorninger/MediaManager,MAGI//ARCHIVE,A modern selfhosted media management system for your media library,Other,Python,3205,77,Repositorio para revisar: a modern selfhosted media management system for your media library.,92,AGPL-3.0,,2025-02-08T17:30:18Z,2026-06-01T07:35:03Z,2026-05-27T19:22:23Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/maxdorninger-MediaManager.html,https://github.com/maxdorninger/MediaManager,3436
postgis/postgis,GitHub topic:geospatial + GitHub topic:gis,PostGIS spatial database extension to PostgreSQL [mirror],Geospatial,PLpgSQL,2132,424,"Permite visualizar, gestionar o analizar datos geoespaciales.",2,GPL-2.0,c; geospatial; gis; plpgsql; postgis; postgresql,2012-05-22T13:31:25Z,2026-06-01T17:36:03Z,2026-06-01T17:34:31Z,,https://github.com/topics/geospatial,https://github.com/postgis/postgis,3404
danvergara/dblab,MAGI//ARCHIVE,The database client every command line junkie deserves.,Data / ETL,Go,3141,87,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,13,MIT,cli; client; developer-tools; development; golang; mysql; oracle; postgresql; sqlite; sqlserver; tui; tview,2021-03-30T05:20:36Z,2026-06-01T02:35:24Z,2026-05-28T03:57:39Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/danvergara-dblab.html,https://github.com/danvergara/dblab,3402
zhom/donutbrowser,MAGI//ARCHIVE,Simple Yet Powerful Anti-Detect Browser 🍩,Other,Rust,2646,250,Repositorio para revisar: simple yet powerful anti-detect browser 🍩.,8,AGPL-3.0,anti-detect; anti-detect-browser; anti-detection; browser; browser-management; chromium; firefox; management; manager; orchestration; orchestrator; privacy,2025-05-29T06:13:50Z,2026-06-01T18:11:36Z,2026-06-01T00:43:32Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/zhom-donutbrowser.html,https://github.com/zhom/donutbrowser,3396
undb-io/undb,MAGI//ARCHIVE,🚀 Private first self-hosted no code database & BaaS.,Data / ETL,TypeScript,2942,150,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",53,AGPL-3.0,airtable; airtable-alternative; baas; backend; backend-as-a-service; bun; ddd; docker; domain-driven-design; no-code-database; nocode; offline-first; self-hosted; sqlite3; svelte; sveltekit; typescript,2022-11-18T03:22:51Z,2026-06-01T16:39:46Z,2025-07-13T06:36:16Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/undb-io-undb.html,https://github.com/undb-io/undb,3392
hexgrad/Kokoro-TTS,Hugging Face Spaces,Kokoro TTS,Other,gradio,3332,0,Repositorio para revisar: kokoro tts.,0,,gradio; region:us,2024-11-02T08:32:25.000Z,2025-04-09T20:21:52.000Z,2025-04-09T20:21:52.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/hexgrad/Kokoro-TTS,3332
automata/aicodeguide,MAGI//ARCHIVE,AI Code Guide is a roadmap to start coding with AI,Qualitative analysis,,2587,245,"Sirve para organizar, codificar o analizar materiales cualitativos.",3,,ai; aicode; aicoding; course; llm; roadmap; vibe-coding,2025-04-08T14:53:26Z,2026-06-01T08:54:22Z,2026-03-23T17:11:35Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/automata-aicodeguide.html,https://github.com/automata/aicodeguide,3322
tencent/Hunyuan3D-2,Hugging Face Spaces,Hunyuan3D-2.0,Other,gradio,3295,0,"Genera, procesa o visualiza recursos 3D.",0,,gradio; region:us,2025-01-20T06:59:11.000Z,2025-06-02T15:04:38.000Z,2025-06-02T15:04:38.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/tencent/Hunyuan3D-2,3295
knightnemo/Awesome-World-Models,MAGI//ARCHIVE,"A Curated List of Awesome Works in World Modeling, Aiming to Serve as a One-stop Resource for Researchers, Practitioners, and Enthusiasts Interested in World Modeling.",Research,,2926,119,"Apoya investigación, experimentación, evaluación o revisión de literatura.",1,BSD-3-Clause,awesome-list; dynamical-systems; embodied-ai; generative-model; world-models,2025-10-31T14:38:53Z,2026-06-01T16:12:05Z,2026-05-25T06:43:55Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/knightnemo-Awesome-World-Models.html,https://github.com/knightnemo/Awesome-World-Models,3283
akhaliq/anycoder,Hugging Face Spaces,AnyCoder,Dev tools,docker,3278,0,"Agrega herramientas para programar, automatizar o mantener proyectos.",0,,docker; region:us,2024-11-17T01:04:34.000Z,2026-04-20T16:42:10.000Z,2026-04-20T16:42:10.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/akhaliq/anycoder,3278
mrfakename/Z-Image-Turbo,Hugging Face Spaces,Z Image Turbo,AI agents,gradio,3275,0,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,0,,gradio; mcp-server; region:us,2025-11-26T19:54:05.000Z,2026-02-02T16:51:24.000Z,2026-02-02T16:51:24.000Z,2026-06-01,https://huggingface.co/spaces,https://huggingface.co/spaces/mrfakename/Z-Image-Turbo,3275
