repo,source,description,category,language,stars,forks,descripcion_es,open_issues,license,topics,created_at,updated_at,pushed_at,discovered_at,source_url,github_url,score
superradcompany/microsandbox,MAGI//ARCHIVE,"🧱 easy, fast and local-first microVM runtime",AI agents,Rust,6726,332,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,37,Apache-2.0,agents; docker; golang; linux; local; macos; microvm; nodejs; python; rust; sandbox; security; self-hosted; typescript; virtualization; vm,2024-10-03T15:57:38Z,2026-06-29T14:36:33Z,2026-06-29T14:34:27Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/microsandbox-microsandbox.html,https://github.com/superradcompany/microsandbox,7722
htmlstreamofficial/preline,MAGI//ARCHIVE,Preline UI is an open-source set of prebuilt UI components based on the utility-first Tailwind CSS framework.,AI agents,HTML,6346,410,Permite crear o ejecutar agentes de IA con herramientas y flujos automatizados.,9,NOASSERTION,agent-skills; css; html; javascript; tailwindcss; tailwindcss-plugin; typescript; ui-components,2022-05-15T15:29:39Z,2026-06-28T14:54:15Z,2026-05-10T14:12:28Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/htmlstreamofficial-preline.html,https://github.com/htmlstreamofficial/preline,7576
apache/streampark,MAGI//ARCHIVE,Make stream processing easier! Easy-to-use streaming application development framework and operation platform.,Data / ETL,Java,4313,1078,Sirve para trabajar con datos.,353,Apache-2.0,apache; development-framework; easy-to-use; etl-pipeline; operation-platform; streaming; streampark,2019-05-27T05:56:03Z,2026-06-24T06:48:36Z,2026-06-23T12:50:52Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/apache-streampark.html,https://github.com/apache/streampark,7547
mesa/mesa,GitHub topic:gis,"Mesa is an open-source Python library for agent-based modeling, ideal for simulating complex systems and exploring emergent behaviors.",AI agents,Python,3704,1278,"Permite visualizar, gestionar o analizar datos geoespaciales.",102,Apache-2.0,agent-based-modeling; agent-based-simulation; complex-systems; complexity-analysis; gis; mesa; modeling-agents; simulation; simulation-environment; simulation-framework; spatial-models,2014-09-19T21:16:30Z,2026-06-29T14:41:49Z,2026-06-29T14:40:43Z,,https://github.com/topics/gis,https://github.com/mesa/mesa,7538
mteb/leaderboard,Hugging Face Spaces,MTEB Leaderboard,Other,docker,7518,0,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",0,,docker; leaderboard; region:us,2022-09-29T11:29:23.000Z,2026-06-29T07:30:35.000Z,2026-06-29T07:30:35.000Z,2026-06-29,https://huggingface.co/spaces,https://huggingface.co/spaces/mteb/leaderboard,7518
osaurus-ai/osaurus,GitHub topic:llm + GitHub topic:mcp,"Own your AI. The native macOS harness for AI agents -- any model, persistent memory, autonomous execution, cryptographic identity. Built in Swift. Fully offline. Open source.",AI agents,Swift,6437,359,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",98,MIT,anthropic; apple-foundation-models; apple-intelligence; apple-neural-engine; llm; mcp; mcp-server; mlx; openai; swift,2025-08-17T15:05:39Z,2026-06-29T16:16:14Z,2026-06-29T16:15:41Z,,https://github.com/topics/llm,https://github.com/osaurus-ai/osaurus,7514
ling-drag0n/CloudPaste,MAGI//ARCHIVE,🌩️ Serverless 自托管的文件管理与文本分享工具/网盘，支持多存储聚合管理和WebDAV 服务挂载。兼容 S3、WebDAV、OneDrive、Google Drive、Telegram、HF、GitHub 等。内置   Markdown 编辑器、30+文件格式预览。支持 Cloudflare Workers 或 Docker 部署。,Academic writing,JavaScript,2510,1647,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",36,NOASSERTION,cloudflare; cloudflare-workers; docker; file-browser; huggingface; markdown; onedrive; s3; telegram; telegrambot; webdav,2025-04-02T10:23:52Z,2026-06-29T14:51:50Z,2026-01-23T08:12:18Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/ling-drag0n-CloudPaste.html,https://github.com/ling-drag0n/CloudPaste,7451
gee-community/geemap,X curado:Google Earth,A Python package for interactive geospatial analysis and visualization with Google Earth Engine.,Geospatial,Python,3969,1144,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",52,MIT,colab; data-science; dataviz; earth-engine; earthengine; folium; geospatial; gis; google-earth-engine; image-processing; ipyleaflet; ipywidgets; jupyter; jupyter-notebook; landsat; mapping; python; remote-sensing; streamlit; streamlit-webapp,2020-03-08T15:21:09Z,2026-06-28T16:34:14Z,2026-06-26T18:03:40Z,,https://github.com/gee-community/geemap,https://github.com/gee-community/geemap,7401
adbar/trafilatura,MAGI//ARCHIVE,"Python & Command-line tool to gather text and metadata on the Web: Crawling, scraping, extraction, output as CSV, JSON, HTML, MD, TXT, XML",Academic writing,Python,6204,389,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",75,Apache-2.0,article-extractor; corpus-builder; corpus-tools; crawler; html-to-markdown; html2text; llm; news-aggregator; news-crawler; nlp; rag; readability; rss-feed; scraping; tei; text-cleaning; text-extraction; text-mining; text-preprocessing; web-scraping,2019-04-08T11:38:48Z,2026-06-29T11:35:03Z,2026-06-28T16:30:38Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/adbar-trafilatura.html,https://github.com/adbar/trafilatura,7371
cugu/awesome-forensics,MAGI//ARCHIVE,⭐️ A curated list of awesome forensic analysis tools and resources,Security,,5114,752,Sirve para trabajar con herramienta de código abierto.,5,CC0-1.0,computer-forensics; dfir; digital-forensics; forensic-analysis; free; open-source,2016-03-29T20:54:47Z,2026-06-29T09:23:37Z,2026-05-14T21:15:16Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/cugu-awesome-forensics.html,https://github.com/cugu/awesome-forensics,7370
milanvarady/Applite,MAGI//ARCHIVE,User-friendly GUI macOS application for Homebrew Casks,Other,Swift,6823,174,Repositorio para revisar: user-friendly gui macos application for homebrew casks.,8,MIT,homebrew; homebrew-cask; macos; macos-app; swift; swiftui,2023-08-03T20:35:19Z,2026-06-29T13:51:27Z,2026-06-28T11:36:04Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/milanvarady-Applite.html,https://github.com/milanvarady/Applite,7345
pbek/QOwnNotes,GitHub topic:markdown,QOwnNotes is a plain-text file notepad and todo-list manager with Markdown support and Nextcloud / ownCloud integration.,Academic writing,C++,5799,495,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",72,GPL-2.0,bookmark; c-plus-plus; caldav; chrome-extension; dropbox; firefox-extension; llm; local-first; markdown; nextcloud; nextcloud-notes; note-taking; notebook; notes; owncloud; pim; pkm; qownnotes; qt; second-brain,2014-12-02T14:38:05Z,2026-06-29T16:09:37Z,2026-06-29T16:09:30Z,,https://github.com/topics/markdown,https://github.com/pbek/QOwnNotes,7284
quarto-dev/quarto-cli,X curado:R Markdown,Open-source scientific and technical publishing system built on Pandoc.,Dev tools,JavaScript,5801,444,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,1822,NOASSERTION,,2020-09-25T13:25:46Z,2026-06-29T13:57:20Z,2026-06-29T13:56:21Z,,https://github.com/quarto-dev/quarto-cli,https://github.com/quarto-dev/quarto-cli,7133
nicotsx/zerobyte,MAGI//ARCHIVE,Backup automation for self-hosters. Built on top of restic,Other,TypeScript,6609,167,Repositorio para revisar: backup automation for self-hosters. built on top of restic.,106,AGPL-3.0,backup; backup-utility; restic; self-hosted,2025-08-09T08:58:56Z,2026-06-29T13:24:48Z,2026-06-29T15:40:17Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/nicotsx-zerobyte.html,https://github.com/nicotsx/zerobyte,7110
graphql-editor/graphql-editor,MAGI//ARCHIVE,📺 Visual Editor & GraphQL IDE. ,Dev tools,TypeScript,6068,284,Crea visualizaciones para explorar datos y comunicar resultados.,20,MIT,graphql; ide; playground; tool; tools; visualisation,2018-09-18T15:22:58Z,2026-06-23T08:44:50Z,2025-09-10T13:19:33Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/graphql-editor-graphql-editor.html,https://github.com/graphql-editor/graphql-editor,6920
mayswind/ezbookkeeping,MAGI//ARCHIVE,"A lightweight, self-hosted personal finance app with a user-friendly interface and powerful bookkeeping features.",Dashboard / UI,Go,5133,577,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",14,MIT,accounting; app; bookkeeping; docker; expense-manager; expense-tracker; expenses; finance; finance-management; finances; financial; golang; homelab; mobile; money; money-manager; personal-finance; self-hosted; typescript; vue,2020-10-17T08:54:02Z,2026-06-29T11:22:15Z,2026-06-28T01:11:42Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/mayswind-ezbookkeeping.html,https://github.com/mayswind/ezbookkeeping,6864
contribsys/faktory,MAGI//ARCHIVE,Language-agnostic persistent background job server,Dev tools,Go,6132,237,"Agrega herramientas para programar, automatizar o mantener proyectos.",22,NOASSERTION,,2017-06-15T17:01:29Z,2026-06-29T02:42:01Z,2026-06-25T21:21:24Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/contribsys-faktory.html,https://github.com/contribsys/faktory,6843
666OS/ClashMac,MAGI//ARCHIVE,Native Proxy Experience Built for macOS,Other,,5998,252,Repositorio para revisar: native proxy experience built for macos.,164,NOASSERTION,clash; clash-meta; macos; mihomo; network; proxy; swiftui,2025-11-28T04:41:02Z,2026-06-29T14:46:52Z,2026-06-21T03:58:36Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/666OS-ClashMac.html,https://github.com/666OS/ClashMac,6754
tagspaces/tagspaces,MAGI//ARCHIVE,"TagSpaces is an offline, open source, document manager with tagging support",Other,TypeScript,5185,509,Sirve para trabajar con herramienta de código abierto.,83,AGPL-3.0,electron; javascript; note-taking; offline-first; open-source; self-hosting; tagspaces,2012-11-23T17:25:20Z,2026-06-29T16:00:21Z,2026-06-29T15:59:46Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/tagspaces-tagspaces.html,https://github.com/tagspaces/tagspaces,6712
going-doer/Paper2Code,MAGI//ARCHIVE,Paper2Code: Automating Code Generation from Scientific Papers in Machine Learning,Research,Python,4702,659,"Apoya investigación, experimentación, evaluación o revisión de literatura.",15,Apache-2.0,,2025-04-25T07:58:12Z,2026-06-29T06:03:18Z,2026-03-25T01:00:05Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/going-doer-Paper2Code.html,https://github.com/going-doer/Paper2Code,6679
tconbeer/harlequin,MAGI//ARCHIVE,The SQL IDE for Your Terminal.,Dev tools,Python,6201,156,Agrega herramientas de línea de comandos para automatizar tareas de desarrollo.,62,MIT,,2023-05-02T15:44:31Z,2026-06-29T14:25:52Z,2026-06-27T02:27:54Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/tconbeer-harlequin.html,https://github.com/tconbeer/harlequin,6669
komari-monitor/komari,MAGI//ARCHIVE,A simple server monitor tool.,Dev tools,Go,5191,492,"Agrega herramientas para programar, automatizar o mantener proyectos.",73,MIT,monitoring; monitoring-tool; remote-control,2025-04-19T16:34:16Z,2026-06-29T15:16:31Z,2026-06-29T13:58:02Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/komari-monitor-komari.html,https://github.com/komari-monitor/komari,6667
google/earthengine-api,X curado:Google Earth,Python and JavaScript bindings for calling the Earth Engine API.,Other,JavaScript,3339,1079,"Permite trabajar con Google Earth Engine, imágenes satelitales o análisis territorial.",17,Apache-2.0,,2015-04-22T00:36:55Z,2026-06-29T06:09:01Z,2026-06-26T16:22:14Z,,https://github.com/google/earthengine-api,https://github.com/google/earthengine-api,6576
ONLYOFFICE/DesktopEditors,MAGI//ARCHIVE,"Open-source office suite pack that comprises all the tools you need to work with documents, spreadsheets, presentations, PDFs, and PDF forms on Windows, Linux, and macOS",Dev tools,,5017,504,Sirve para trabajar con herramienta de código abierto.,460,AGPL-3.0,collaboration; desktop; docx; excel; form-builder; office; onlyoffice; pdf; pdf-form; pptx; presentation; spreadsheet; word; xlsx,2016-10-03T12:11:12Z,2026-06-29T08:49:37Z,2026-05-21T12:51:44Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/ONLYOFFICE-DesktopEditors.html,https://github.com/ONLYOFFICE/DesktopEditors,6529
jaredthecoder/awesome-vehicle-security,MAGI//ARCHIVE,🚗  A curated list of resources for learning about vehicle security and car hacking.,Security,,4364,707,"Sirve para auditoría, análisis o protección de sistemas.",0,CC0-1.0,automotive; awesome; awesome-list; car-hacking; cars; cybersecurity; hacking; hacking-vehicles; hardware; learning; security; vehicle-security,2016-07-28T05:51:23Z,2026-06-29T12:46:43Z,2026-05-30T00:29:18Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/jaredthecoder-awesome-vehicle-security.html,https://github.com/jaredthecoder/awesome-vehicle-security,6485
glideapps/glide-data-grid,MAGI//ARCHIVE,"🚀 Glide Data Grid is a no compromise, outrageously fast react data grid with rich rendering, first class accessibility, and full TypeScript support.",LLM / GenAI,TypeScript,5240,411,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",124,MIT,accessible; data; datagrid; grid; javascript; react; reactjs; table; typescript,2020-10-28T04:19:29Z,2026-06-27T23:26:23Z,2026-01-21T19:14:18Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/glideapps-glide-data-grid.html,https://github.com/glideapps/glide-data-grid,6473
jupyter-book/jupyter-book,GitHub topic:scientific-writing,"Create beautiful, publication-quality books and documents from computational content.",Academic writing,TypeScript,4251,727,"Crea documentos dinámicos y reproducibles combinando texto, código y resultados.",662,BSD-3-Clause,documentation-generator; jupyter; markdown; notebooks; scientific-writing,2018-06-14T01:55:51Z,2026-06-24T02:10:00Z,2026-06-22T07:52:56Z,,https://github.com/topics/scientific-writing,https://github.com/jupyter-book/jupyter-book,6432
piitaya/lovelace-mushroom,MAGI//ARCHIVE,Build a beautiful Home Assistant dashboard easily,Dashboard / UI,TypeScript,5044,425,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",433,Apache-2.0,card; hacktoberfest; hacs; home-assistant; lovelace; mushroom,2022-01-04T08:58:46Z,2026-06-29T14:19:55Z,2026-06-12T21:15:26Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/piitaya-lovelace-mushroom.html,https://github.com/piitaya/lovelace-mushroom,6319
common-voice/common-voice,GitHub topic:open-data,Common Voice is part of Mozilla's initiative to help teach machines how real people speak.,Data / ETL,TypeScript,3473,872,Sirve para trabajar con datos.,218,MPL-2.0,crowdsourcing; internet-freedom; open-data; voice,2017-05-05T15:53:07Z,2026-06-29T13:50:46Z,2026-06-29T13:50:20Z,,https://github.com/topics/open-data,https://github.com/common-voice/common-voice,6089
nisrulz/app-privacy-policy-generator,MAGI//ARCHIVE,Generate a customized Privacy Policy and Terms of Use document for your mobile apps,Other,HTML,4640,464,Repositorio para revisar: generate a customized privacy policy and terms of use document for your mobile apps.,1,AGPL-3.0,3rd-party-service; android; android-app; android-application; app; generator; ios; ios-app; policy; privacy; webapp,2017-02-21T17:38:38Z,2026-06-29T05:11:40Z,2026-06-23T23:54:09Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/nisrulz-app-privacy-policy-generator.html,https://github.com/nisrulz/app-privacy-policy-generator,6032
rstudio/rmarkdown,X curado:R Markdown,Paquete R para crear documentos dinámicos y reproducibles.,Academic writing,R,3039,992,Paquete R para crear documentos dinámicos y reproducibles.,267,NOASSERTION,r; rmarkdown; reproducible-research; literate-programming; markdown; pandoc; r-package,2014-01-22T17:25:19Z,2026-06-27T22:21:51Z,2026-06-18T21:40:32Z,,https://github.com/rstudio/rmarkdown,https://github.com/rstudio/rmarkdown,6015
probberechts/hexo-theme-cactus,MAGI//ARCHIVE,":cactus: A responsive, clean and simple theme for Hexo.",Other,Stylus,3508,821,"Repositorio para revisar: :cactus: a responsive, clean and simple theme for hexo.",34,MIT,blog; hexo; theme,2016-10-31T21:55:38Z,2026-06-28T21:01:37Z,2024-08-13T13:41:13Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/probberechts-hexo-theme-cactus.html,https://github.com/probberechts/hexo-theme-cactus,5971
Imbad0202/academic-research-skills-codex,GitHub topic:academic-research + GitHub topic:academic-writing + GitHub topic:literature-review,Codex-native Academic Research Skills suite for human-in-the-loop academic research workflows,LLM / GenAI,Python,5045,270,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",0,NOASSERTION,academic-pipeline; academic-research; academic-writing; ai-research; codex; literature-review; openai-codex; peer-review; prompt-engineering; research-assistant,2026-04-25T13:39:58Z,2026-06-29T15:57:55Z,2026-06-29T02:09:38Z,,https://github.com/topics/academic-research,https://github.com/Imbad0202/academic-research-skills-codex,5855
scanopy/scanopy,MAGI//ARCHIVE,Network diagrams that update themselves,Geospatial,Rust,5105,244,Crea visualizaciones para explorar datos y comunicar resultados.,45,AGPL-3.0,documentation; documentation-generator; documentation-tools; homelab; network-analysis; network-diagram; network-diagrams; network-docs; network-documentation; network-mapper; network-mapping-tool; network-visualization; network-visualizer; networking; self-hosted; visualization,2025-09-29T18:37:20Z,2026-06-29T10:57:54Z,2026-06-28T17:13:40Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/scanopy-scanopy.html,https://github.com/scanopy/scanopy,5837
psviderski/uncloud,MAGI//ARCHIVE,A lightweight tool for deploying and managing containerised applications across a network of Docker hosts. Bridging the gap between Docker and Kubernetes ✨,Other,Go,5286,163,Repositorio para revisar: a lightweight tool for deploying and managing containerised applications across a network of docker hosts. bridging the gap between docker and kubernetes ✨.,82,Apache-2.0,containers; deployment; devops; docker; docker-compose; golang; kubernetes; orchestration; self-hosted,2024-07-20T11:13:36Z,2026-06-29T11:03:19Z,2026-06-29T11:06:43Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/psviderski-uncloud.html,https://github.com/psviderski/uncloud,5775
torchgeo/torchgeo,GitHub topic:geospatial + GitHub topic:remote-sensing,"TorchGeo: datasets, samplers, transforms, and pre-trained models for geospatial data",Geospatial,Python,4085,558,"Permite visualizar, gestionar o analizar datos geoespaciales.",230,MIT,computer-vision; datasets; deep-learning; earth-observation; geospatial; models; pytorch; remote-sensing; satellite-imagery; torchvision; transforms,2021-05-21T05:58:56Z,2026-06-29T14:45:27Z,2026-06-29T14:44:27Z,,https://github.com/topics/geospatial,https://github.com/torchgeo/torchgeo,5759
dalle-mini/dalle-mini,Hugging Face Spaces,DALL·E mini,Other,static,5697,0,Repositorio para revisar: dall·e mini.,0,,static; region:us,2022-04-07T00:55:48.000Z,2025-08-15T17:58:41.000Z,2025-08-15T17:58:41.000Z,2026-06-29,https://huggingface.co/spaces,https://huggingface.co/spaces/dalle-mini/dalle-mini,5697
eseckel/ai-for-grant-writing,GitHub topic:scientific-writing,A curated list of resources for using LLMs to develop more competitive grant applications.,LLM / GenAI,Python,4140,514,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",0,CC-BY-4.0,generative-ai; grant-proposals; grants; llms; scientific-writing,2024-01-16T01:12:31Z,2026-06-24T06:20:49Z,2026-06-06T03:41:28Z,,https://github.com/topics/scientific-writing,https://github.com/eseckel/ai-for-grant-writing,5682
liam-hq/liam,MAGI//ARCHIVE,Automatically generates beautiful and easy-to-read ER diagrams from your database.,Data / ETL,TypeScript,4857,215,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",29,Apache-2.0,data-visualization; database; database-schema; documentation; documentation-tool; entity-relationship-diagram; er-diagram; erd; nodejs; orm; postgresql; prisma; react-flow; reactjs; ruby-on-rails; sql; tbls; typescript; visualization; webassembly,2024-08-07T07:11:45Z,2026-06-29T14:09:15Z,2026-06-29T11:17:03Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/liam-hq-liam.html,https://github.com/liam-hq/liam,5502
productdevbook/port-killer,MAGI//ARCHIVE,"A powerful cross-platform port management tool for developers. Monitor ports, manage Kubernetes port forwards, integrate Cloudflare Tunnels, and kill processes with one click.",Dev tools,Swift,4910,187,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",13,MIT,developer-tools; kubernetes; macos; macos-app; menu-bar; port-killer; process-manager; swift; swiftui; windows,2025-12-16T01:44:50Z,2026-06-29T15:50:25Z,2026-06-21T21:40:07Z,2026-01-28,https://tom-doerr.github.io/repo_posts/2026/01/28/productdevbook-port-killer.html,https://github.com/productdevbook/port-killer,5471
AP123/IllusionDiffusion,Hugging Face Spaces,IllusionDiffusion,LLM / GenAI,gradio,5415,0,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",0,,gradio; region:us,2023-09-15T16:46:58.000Z,2026-05-22T14:15:16.000Z,2026-05-22T14:15:16.000Z,2026-06-29,https://huggingface.co/spaces,https://huggingface.co/spaces/AP123/IllusionDiffusion,5415
latitude-dev/latitude-llm,MAGI//ARCHIVE,Latitude is the open-source ai monitoring platform.,AI agents,TypeScript,4333,347,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",13,MIT,agent-monitoring; agent-observability; ai-error-monitor; ai-monitoring; ai-observability; llm-error-tracing; llm-observability; llm-tools,2024-06-28T11:16:02Z,2026-06-29T16:01:38Z,2026-06-29T16:08:14Z,2026-01-29,https://tom-doerr.github.io/repo_posts/2026/01/29/latitude-dev-latitude-llm.html,https://github.com/latitude-dev/latitude-llm,5374
oliverschwendener/ueli,MAGI//ARCHIVE,Cross-Platform Keystroke Launcher,Other,TypeScript,4547,275,Repositorio para revisar: cross-platform keystroke launcher.,72,MIT,electron; fluentui; keystroke; launcher; productivity; react; typescript,2016-10-11T04:59:52Z,2026-06-27T13:50:31Z,2026-06-22T05:59:38Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/oliverschwendener-ueli.html,https://github.com/oliverschwendener/ueli,5372
bjesus/pipet,MAGI//ARCHIVE,"Swiss-army tool for scraping and extracting data from online assets, made for hackers ",Data / ETL,Go,4697,214,Extrae datos de sitios o fuentes públicas mediante recolección automatizada.,0,MIT,css; curl; gjson; json; playwright; scraper; scraping,2024-08-31T18:00:43Z,2026-06-28T14:48:00Z,2024-10-12T07:47:38Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/bjesus-pipet.html,https://github.com/bjesus/pipet,5339
GeoNode/geonode,GitHub topic:gis,"GeoNode is an open source platform that facilitates the creation, sharing, and collaborative use of geospatial data.",Geospatial,Python,1688,1195,"Permite visualizar, gestionar o analizar datos geoespaciales.",356,NOASSERTION,django; gis; python; sdi; spatial-data-infrastructure,2010-06-03T18:14:47Z,2026-06-29T15:38:24Z,2026-06-29T15:49:00Z,,https://github.com/topics/gis,https://github.com/GeoNode/geonode,5273
unum-cloud/USearch,MAGI//ARCHIVE,"Fast Open-Source Search & Clustering engine × for Vectors & Arbitrary Objects × in C++, C, Python, JavaScript, Rust, Java, Objective-C, Swift, C#, GoLang, and Wolfram 🔍",Data / ETL,C++,4197,326,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",98,Apache-2.0,approximate-nearest-neighbor-search; clustering; database; faiss; full-text-search; fuzzy-search; image-search; kann; nearest-neighbor-search; recommender-system; search; search-engine; semantic-search; simd; similarity-search; text-search; vector-search; webassembly,2023-02-22T09:20:20Z,2026-06-29T05:10:28Z,2026-05-28T11:10:40Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/unum-cloud-USearch.html,https://github.com/unum-cloud/USearch,5175
chonkie-inc/chonkie,MAGI//ARCHIVE,"🦛 CHONK docs with Chonkie ✨ — The lightweight ingestion library for fast, efficient and robust RAG pipelines",LLM / GenAI,Python,4268,295,"Trabaja con modelos de lenguaje, recuperación aumentada o flujos de IA generativa.",34,MIT,ai; chonkie; chunker; chunking-algorithm; llms; rag; retrieval-systems; semantic-chunker; similarity-search; splitting-algorithms; text-splitter,2025-03-29T05:10:03Z,2026-06-29T14:52:10Z,2026-06-29T13:18:34Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/chonkie-inc-chonkie.html,https://github.com/chonkie-inc/chonkie,5153
Wan-AI/Wan2.2-Animate,Hugging Face Spaces,Wan2.2 Animate,Other,gradio,5114,0,Repositorio para revisar: wan2.2 animate.,0,,gradio; region:us,2025-09-18T07:05:32.000Z,2026-01-23T07:17:48.000Z,2026-01-23T07:17:48.000Z,2026-06-29,https://huggingface.co/spaces,https://huggingface.co/spaces/Wan-AI/Wan2.2-Animate,5114
yihui/knitr,X curado:R Markdown,A general-purpose tool for dynamic report generation in R,Academic writing,R,2457,880,Sirve para trabajar con escritura académica.,153,,dynamic-documents; knitr; literate-programming; r; r-package; rmarkdown; sweave,2011-10-17T20:09:04Z,2026-06-25T12:22:16Z,2026-06-20T05:01:51Z,,https://github.com/yihui/knitr,https://github.com/yihui/knitr,5097
psviderski/unregistry,MAGI//ARCHIVE,Push docker images directly to remote servers without an external registry,Geospatial,Go,4808,91,"Permite visualizar, gestionar o analizar datos geoespaciales.",20,Apache-2.0,containerd; docker; golang; kubernetes; oci; registry,2025-06-03T01:48:51Z,2026-06-27T17:49:05Z,2026-06-12T06:11:18Z,2026-01-30,https://tom-doerr.github.io/repo_posts/2026/01/30/psviderski-unregistry.html,https://github.com/psviderski/unregistry,5081
facebook/MusicGen,Hugging Face Spaces,MusicGen,LLM / GenAI,gradio,5076,0,"Ayuda a escribir y publicar libros, tesis o documentos académicos extensos.",0,,gradio; music generation; language models; LLMs; region:us,2023-06-08T18:00:26.000Z,2026-05-27T11:46:50.000Z,2026-05-27T11:46:50.000Z,2026-06-29,https://huggingface.co/spaces,https://huggingface.co/spaces/facebook/MusicGen,5076
black-forest-labs/FLUX.1-schnell,Hugging Face Spaces,FLUX.1 [Schnell],Other,gradio,5075,0,Repositorio para revisar: flux.1 [schnell].,0,,gradio; region:us,2024-08-01T09:32:41.000Z,2026-06-17T03:17:55.000Z,2026-06-17T03:17:55.000Z,2026-06-29,https://huggingface.co/spaces,https://huggingface.co/spaces/black-forest-labs/FLUX.1-schnell,5075
googlemaps/google-maps-services-js,X curado:Google Maps Platform,Node.js client library for Google Maps API Web Services,Geospatial,TypeScript,3056,651,"Facilita integrar mapas, geocodificación, rutas o marcadores con Google Maps.",52,Apache-2.0,client-library; directions; elevation; geocode; google; hacktoberfest; javascript; maps; nodejs; places,2015-10-21T04:48:45Z,2026-06-28T17:51:24Z,2026-06-16T22:55:24Z,,https://github.com/googlemaps/google-maps-services-js,https://github.com/googlemaps/google-maps-services-js,5009
apache/hugegraph,MAGI//ARCHIVE,"A graph database that supports more than 100+ billion data, high performance and scalability (Include OLTP Engine & REST-API & Backends)",Data / ETL,Java,3122,615,"Gestiona, indexa o consulta datos en bases de datos y motores de búsqueda.",350,Apache-2.0,big-data; database; graph; graph-database; graphdb; gremlin,2018-07-18T03:30:20Z,2026-06-29T04:56:33Z,2026-06-29T04:56:27Z,2026-01-31,https://tom-doerr.github.io/repo_posts/2026/01/31/apache-incubator-hugegraph.html,https://github.com/apache/hugegraph,4967
lmarena-ai/arena-leaderboard,Hugging Face Spaces,Arena Leaderboard,Other,static,4932,0,"Construye o muestra paneles de control para comparar resultados, métricas o modelos.",0,,static; leaderboard; region:us,2023-05-20T09:26:19.000Z,2026-02-21T23:20:43.000Z,2026-02-21T23:20:43.000Z,2026-06-29,https://huggingface.co/spaces,https://huggingface.co/spaces/lmarena-ai/arena-leaderboard,4932
